Страницы (по приоритету),Тип,Контур,Дата статика,Статус ТЗ на SEO,Ссылка на ТЗ,Статус реализации,Комментарий,Google,Я Москва,Я Питер
"=HYPERLINK(""https://serenity.agency/services/marketing"";""Комплексный маркетинг"")",Комплекс,Новый контур,19.05.2026,Готово,"=HYPERLINK(""https://static.serenity.agency/docs/marketing-onepage-seo-tz.html"";""https://static.serenity.agency/docs/marketing-onepage-seo-tz.html"")",В работе,,1,15,15
"=HYPERLINK(""https://serenity.agency"";""Главная страница"")",,Новый контур,29.04.2026,Готово,"=HYPERLINK(""https://static.serenity.agency/docs/home-onepage-seo-tz.html"";""https://static.serenity.agency/docs/home-onepage-seo-tz.html"")",В работе,,1,>20,18
"=HYPERLINK(""https://serenity.agency/kontekstnaya_reklama"";""Контекстная реклама"")",Услуга,Новый контур,17.05.2026,Готово,"=HYPERLINK(""https://static.serenity.agency/docs/kontekstnaya-serp-content-gap.html"";""https://static.serenity.agency/docs/kontekstnaya-serp-content-gap.html"")",В работе,,>20,>20,>20
"=HYPERLINK(""https://serenity.agency/targeting"";""Таргетинговая реклама"")",Услуга,Новый контур,17.05.2026,Готово,"=HYPERLINK(""https://static.serenity.agency/docs/targeting-serp-content-gap.html"";""https://static.serenity.agency/docs/targeting-serp-content-gap.html"")",В работе,,>20,>20,>20
"=HYPERLINK(""https://serenity.agency/kompleksnoye-prodvizheniye"";""Комплексное продвижение"")",Комплекс,Старый контур,,Готово,"=HYPERLINK(""https://static.serenity.agency/docs/kompleksnoye-prodvizheniye-onepage-seo-tz.html"";""https://static.serenity.agency/docs/kompleksnoye-prodvizheniye-onepage-seo-tz.html"")",Очередь,,18,>20,18
"=HYPERLINK(""https://serenity.agency/korporativnyj_sajt"";""Корпоративный сайт"")",Услуга,Старый контур,,,,Очередь,,>20,>20,>20
"=HYPERLINK(""https://serenity.agency/seo"";""SEO-продвижение"")",Услуга,Старый контур,,,,,,,,
"=HYPERLINK(""https://serenity.agency/strategy"";""Маркетинговая стратегия"")",Услуга,Старый контур,,,,,,,,
"=HYPERLINK(""https://serenity.agency/firmennyj-stil-ajdentika"";""Фирменный стиль"")",Услуга,Старый контур,,,,,,,,
"=HYPERLINK(""https://serenity.agency/smm_marketing"";""SMM-продвижение"")",Услуга,Старый контур,,,,,,,,
"=HYPERLINK(""https://serenity.agency/influence-marketing"";""Influence-маркетинг"")",Услуга,Старый контур,,,,,,,,
"=HYPERLINK(""https://serenity.agency/uvelichenie-konversii-saita"";""УКС"")",Услуга,Старый контур,,,,,,,,
"=HYPERLINK(""https://serenity.agency/sozdanie-internet-magazina"";""Создание интернет-магазина"")",Услуга,Старый контур,,,,,,,,
"=HYPERLINK(""https://serenity.agency/medicinskij-marketing"";""Медицинский маркетинг"")",Комплекс,Старый контур,,,,,,,,
"=HYPERLINK(""https://serenity.agency/prodvizhenie-statey-v-dzene-i-promostranitsah"";""Продвижение в Дзен и на Промостраницах"")",3 уровень,Старый контур,,,,,,,,
"=HYPERLINK(""https://serenity.agency/services/video"";""Видеопродакшн"")",Услуга,Старый контур,,,,,,,,
"=HYPERLINK(""https://serenity.agency/services/salesmarketing"";""Sales marketing"")",Услуга,Старый контур,,,,,,,,
"=HYPERLINK(""https://serenity.agency/services/prodvizhenie-it-kompanij"";""Продвижение IT-компаний"")",Комплекс,Старый контур,,,,,,,,
"=HYPERLINK(""https://serenity.agency/ecom"";""E-commerce маркетинг"")",Комплекс,Старый контур,,,,,,,,
"=HYPERLINK(""https://serenity.agency/nedvijimost"";""Маркетинг недвижимости"")",Комплекс,Старый контур,,,,,,,,
"=HYPERLINK(""https://serenity.agency/pr"";""PR"")",Услуга,Старый контур,,,,,,,,
"=HYPERLINK(""https://serenity.agency/communication-strategy"";""Коммуникационная стратегия"")",Услуга,Старый контур,,,,,,,,
"=HYPERLINK(""https://serenity.agency/end-to-end-analytics"";""Сквозная аналитика"")",Услуга,Старый контур,,,,,,,,
"=HYPERLINK(""https://serenity.agency/business-analytics"";""Бизнес-аналитика"")",Услуга,Старый контур,,,,,,,,
"=HYPERLINK(""https://serenity.agency/mini-strategiya"";""Мини-стратегия"")",Услуга,Старый контур,,,,,,,,
"=HYPERLINK(""https://serenity.agency/lending_na_tilda"";""Лендинг на Tilda"")",Услуга,Старый контур,,,,,,,,
"=HYPERLINK(""https://serenity.agency/tehnicheskaya-podderzhka-saita"";""Техническая поддержка"")",Услуга,Старый контур,,,,,,,,
"=HYPERLINK(""https://serenity.agency/vnedrenie-iskusstvennogo-intellekta"";""Внедрение ИИ"")",Услуга,Старый контур,,,,,,,,
"=HYPERLINK(""https://serenity.agency/services"";""Разводящая страница услуг"")",,Новый контур,17.05.2026,,,Готово,,,,
"=HYPERLINK(""https://serenity.agency/blog"";""Блог"")",,Новый контур,04.05.2026,,,Готово,,,,
